algoritmo,array_nombre,n,time_ms,mem_est_bytes
quicksort,100000_aleatorio_D1_a.txt,100000,2.163140,8310
quicksort,100000_aleatorio_D1_b.txt,100000,2.400038,8310
quicksort,100000_aleatorio_D1_c.txt,100000,2.547259,8310
quicksort,100000_aleatorio_D7_a.txt,100000,7.691230,8310
quicksort,100000_aleatorio_D7_b.txt,100000,6.507773,8310
quicksort,100000_aleatorio_D7_c.txt,100000,7.462700,8310
quicksort,100000_ascendente_D1_a.txt,100000,0.836874,8311
quicksort,100000_ascendente_D1_b.txt,100000,1.478593,8311
quicksort,100000_ascendente_D1_c.txt,100000,0.841850,8311
quicksort,100000_ascendente_D7_a.txt,100000,0.965199,8311
quicksort,100000_ascendente_D7_b.txt,100000,0.939732,8311
quicksort,100000_ascendente_D7_c.txt,100000,1.007167,8311
quicksort,100000_descendente_D1_a.txt,100000,1.479090,8312
quicksort,100000_descendente_D1_b.txt,100000,1.440972,8312
quicksort,100000_descendente_D1_c.txt,100000,1.148956,8312
quicksort,100000_descendente_D7_a.txt,100000,0.857252,8312
quicksort,100000_descendente_D7_b.txt,100000,0.881375,8312
quicksort,100000_descendente_D7_c.txt,100000,0.918402,8312
quicksort,1000_aleatorio_D1_a.txt,1000,0.031372,8308
quicksort,1000_aleatorio_D1_b.txt,1000,0.029228,8308
quicksort,1000_aleatorio_D1_c.txt,1000,0.029068,8308
quicksort,1000_aleatorio_D7_a.txt,1000,0.050355,8308
quicksort,1000_aleatorio_D7_b.txt,1000,0.058607,8308
quicksort,1000_aleatorio_D7_c.txt,1000,0.052356,8308
quicksort,1000_ascendente_D1_a.txt,1000,0.013398,8309
quicksort,1000_ascendente_D1_b.txt,1000,0.021057,8309
quicksort,1000_ascendente_D1_c.txt,1000,0.018174,8309
quicksort,1000_ascendente_D7_a.txt,1000,0.009653,8309
quicksort,1000_ascendente_D7_b.txt,1000,0.012921,8309
quicksort,1000_ascendente_D7_c.txt,1000,0.011657,8309
quicksort,1000_descendente_D1_a.txt,1000,0.019997,8310
quicksort,1000_descendente_D1_b.txt,1000,0.018548,8310
quicksort,1000_descendente_D1_c.txt,1000,0.015366,8310
quicksort,1000_descendente_D7_a.txt,1000,0.013748,8310
quicksort,1000_descendente_D7_b.txt,1000,0.009981,8310
quicksort,1000_descendente_D7_c.txt,1000,0.014062,8310
quicksort,10_aleatorio_D1_a.txt,10,0.000995,8306
quicksort,10_aleatorio_D1_b.txt,10,0.001192,8306
quicksort,10_aleatorio_D1_c.txt,10,0.001354,8306
quicksort,10_aleatorio_D7_a.txt,10,0.000783,8306
quicksort,10_aleatorio_D7_b.txt,10,0.001826,8306
quicksort,10_aleatorio_D7_c.txt,10,0.001152,8306
quicksort,10_ascendente_D1_a.txt,10,0.001075,8307
quicksort,10_ascendente_D1_b.txt,10,0.001567,8307
quicksort,10_ascendente_D1_c.txt,10,0.002880,8307
quicksort,10_ascendente_D7_a.txt,10,0.001095,8307
quicksort,10_ascendente_D7_b.txt,10,0.001362,8307
quicksort,10_ascendente_D7_c.txt,10,0.001006,8307
quicksort,10_descendente_D1_a.txt,10,0.001476,8308
quicksort,10_descendente_D1_b.txt,10,0.001198,8308
quicksort,10_descendente_D1_c.txt,10,0.001025,8308
quicksort,10_descendente_D7_a.txt,10,0.003453,8308
quicksort,10_descendente_D7_b.txt,10,0.001855,8308
quicksort,10_descendente_D7_c.txt,10,0.003581,8308
