algoritmo,array_nombre,n,time_ms,mem_est_bytes
stdsort,100000_aleatorio_D1_a.txt,100000,1.695902,400000
stdsort,100000_aleatorio_D1_b.txt,100000,1.573125,400000
stdsort,100000_aleatorio_D1_c.txt,100000,1.564865,400000
stdsort,100000_aleatorio_D7_a.txt,100000,4.756064,400000
stdsort,100000_aleatorio_D7_b.txt,100000,5.943521,400000
stdsort,100000_aleatorio_D7_c.txt,100000,4.730879,400000
stdsort,100000_ascendente_D1_a.txt,100000,0.616002,400000
stdsort,100000_ascendente_D1_b.txt,100000,0.425512,400000
stdsort,100000_ascendente_D1_c.txt,100000,0.414411,400000
stdsort,100000_ascendente_D7_a.txt,100000,0.526777,400000
stdsort,100000_ascendente_D7_b.txt,100000,0.538345,400000
stdsort,100000_ascendente_D7_c.txt,100000,0.527406,400000
stdsort,100000_descendente_D1_a.txt,100000,0.498283,400000
stdsort,100000_descendente_D1_b.txt,100000,0.473989,400000
stdsort,100000_descendente_D1_c.txt,100000,0.451297,400000
stdsort,100000_descendente_D7_a.txt,100000,0.522728,400000
stdsort,100000_descendente_D7_b.txt,100000,0.406434,400000
stdsort,100000_descendente_D7_c.txt,100000,0.411570,400000
stdsort,1000_aleatorio_D1_a.txt,1000,0.022695,8308
stdsort,1000_aleatorio_D1_b.txt,1000,0.018532,8308
stdsort,1000_aleatorio_D1_c.txt,1000,0.018237,8308
stdsort,1000_aleatorio_D7_a.txt,1000,0.034272,8308
stdsort,1000_aleatorio_D7_b.txt,1000,0.033331,8308
stdsort,1000_aleatorio_D7_c.txt,1000,0.039010,8308
stdsort,1000_ascendente_D1_a.txt,1000,0.005888,8309
stdsort,1000_ascendente_D1_b.txt,1000,0.005801,8309
stdsort,1000_ascendente_D1_c.txt,1000,0.006466,8309
stdsort,1000_ascendente_D7_a.txt,1000,0.005427,8309
stdsort,1000_ascendente_D7_b.txt,1000,0.005641,8309
stdsort,1000_ascendente_D7_c.txt,1000,0.005643,8309
stdsort,1000_descendente_D1_a.txt,1000,0.006600,8310
stdsort,1000_descendente_D1_b.txt,1000,0.006508,8310
stdsort,1000_descendente_D1_c.txt,1000,0.006413,8310
stdsort,1000_descendente_D7_a.txt,1000,0.006239,8310
stdsort,1000_descendente_D7_b.txt,1000,0.004302,8310
stdsort,1000_descendente_D7_c.txt,1000,0.004628,8310
stdsort,10_aleatorio_D1_a.txt,10,0.000904,8306
stdsort,10_aleatorio_D1_b.txt,10,0.000777,8306
stdsort,10_aleatorio_D1_c.txt,10,0.000759,8306
stdsort,10_aleatorio_D7_a.txt,10,0.001291,8306
stdsort,10_aleatorio_D7_b.txt,10,0.000817,8306
stdsort,10_aleatorio_D7_c.txt,10,0.001079,8306
stdsort,10_ascendente_D1_a.txt,10,0.001145,8307
stdsort,10_ascendente_D1_b.txt,10,0.000745,8307
stdsort,10_ascendente_D1_c.txt,10,0.000678,8307
stdsort,10_ascendente_D7_a.txt,10,0.001020,8307
stdsort,10_ascendente_D7_b.txt,10,0.001070,8307
stdsort,10_ascendente_D7_c.txt,10,0.001492,8307
stdsort,10_descendente_D1_a.txt,10,0.000860,8308
stdsort,10_descendente_D1_b.txt,10,0.000958,8308
stdsort,10_descendente_D1_c.txt,10,0.001299,8308
stdsort,10_descendente_D7_a.txt,10,0.001076,8308
stdsort,10_descendente_D7_b.txt,10,0.001359,8308
stdsort,10_descendente_D7_c.txt,10,0.001151,8308
